track_key,tempo_period,color_index,theme_index,tempo_source,energy,updated_at
billy joel - we didn't start the fire,0.5555555555555556,3,8,ai_prepop,fast,2026-08-16 05:19:38
billy ocean - caribbean queen (no more love on the run),0.5172413793103449,7,1,ai_prepop,fast,2026-08-16 05:19:38
black eyed peas - i gotta feeling,0.46875,3,11,ai_prepop,fast,2026-08-16 05:19:38
blink-182 - all the small things,0.40540540540540543,7,1,ai_prepop,fast,2026-08-16 05:19:38
blink-182 - what's my age again?,0.39473684210526316,3,8,ai_prepop,fast,2026-08-16 05:19:38
"blue swede, björn skifs - hooked on a feeling",0.5357142857142857,9,8,operator,fast,2026-08-16 05:19:38
bob dylan - blowin' in the wind,0.7894736842105263,9,6,ai_prepop,slow,2026-08-16 05:19:38
bob marley & the wailers - could you be loved,0.5882352941176471,7,4,ai_prepop,fast,2026-08-16 05:19:38
bob marley & the wailers - i shot the sheriff,0.6,0,7,ai_prepop,slow,2026-08-16 05:19:38
bob seger - old time rock & roll,0.5,-1,-1,online,,2026-08-16 05:19:38
bobby darin - dream lover,2.0,4,1,operator,,2026-08-16 05:19:38
bobby day - rockin' robin,0.42857142857142855,7,11,ai_prepop,fast,2026-08-16 05:19:38
bon jovi - livin' on a prayer,0.4918032786885246,4,9,ai_prepop,fast,2026-08-16 05:19:38
bon jovi - you give love a bad name,0.9362335999806722,5,1,operator,,2026-08-16 05:19:38
bonnie tyler - total eclipse of the heart,0.8823529411764706,9,7,operator,slow,2026-08-16 05:19:38
britney spears - (you drive me) crazy,0.4580152671755725,7,1,ai_prepop,fast,2026-08-16 05:19:38
britney spears - ...baby one more time,0.6521739130434783,4,8,ai_prepop,fast,2026-08-16 05:19:38
britney spears - gimme more,0.6,9,5,ai_prepop,dark,2026-08-16 05:19:38
britney spears - oops!...i did it again,0.631578947368421,3,4,ai_prepop,fast,2026-08-16 05:19:38
britney spears - toxic,0.4195804195804196,3,11,ai_prepop,fast,2026-08-16 05:19:38
britney spears - womanizer,0.5,4,11,ai_prepop,fast,2026-08-16 05:19:38
bronski beat - smalltown boy,0.4838709677419355,4,9,ai_prepop,fast,2026-08-16 05:19:38
brooks & dunn - neon moon,0.8571428571428571,1,6,ai_prepop,slow,2026-08-16 05:19:38
bruce hornsby and the range - the way it is,2.0,9,2,operator,,2026-08-16 05:19:38
bruce springsteen - dancing in the dark,0.40540540540540543,3,1,ai_prepop,fast,2026-08-16 05:19:38
bruce springsteen - glory days,0.4444444444444444,3,8,ai_prepop,fast,2026-08-16 05:19:38
bruce springsteen - hungry heart,0.3614457831325301,7,1,ai_prepop,fast,2026-08-16 05:19:38
bruce springsteen - streets of philadelphia - single edit,0.6976744186046512,9,12,ai_prepop,dark,2026-08-16 05:19:38
bruno mars - just the way you are,0.5504587155963303,0,0,ai_prepop,slow,2026-08-16 05:19:38
bryan adams - summer of '69,0.42857142857142855,7,8,ai_prepop,fast,2026-08-16 05:19:38
buddy holly - that'll be the day,0.46153846153846156,7,9,ai_prepop,fast,2026-08-16 05:19:38
cake - never there,0.5193993250528971,4,5,operator,,2026-08-16 05:19:38
cake - the distance,0.5,4,11,online,fast,2026-08-16 05:19:38
cheap trick - the flame,0.9090909090909091,0,12,ai_prepop,slow,2026-08-16 05:19:38
chris brown - forever,0.46153846153846156,3,9,ai_prepop,fast,2026-08-16 05:19:38
chris grey - wrong,0.5,3,1,ai_prepop,fast,2026-08-16 05:19:38
christina aguilera - come on over baby (all i want is you) - radio version,0.45454545454545453,4,9,ai_prepop,fast,2026-08-16 05:19:38
christina aguilera - genie in a bottle,0.6060606060606061,4,8,ai_prepop,fast,2026-08-16 05:19:38
christina aguilera - what a girl wants,0.6,-1,-1,online,,2026-08-16 05:19:38
chubby checker - the twist,0.4,4,9,ai_prepop,fast,2026-08-16 05:19:38
chuck berry - roll over beethoven - single version,0.35714285714285715,7,8,ai_prepop,fast,2026-08-16 05:19:38
"ciara, missy elliott - 1, 2 step (feat. missy elliott)",0.46153846153846156,7,9,ai_prepop,fast,2026-08-16 05:19:38
coldplay - yellow,0.6896551724137931,8,12,ai_prepop,slow,2026-08-16 05:19:38
conki - oh my love,0.6666666666666666,8,12,ai_prepop,slow,2026-08-16 05:19:38
connie francis - stupid cupid,0.46153846153846156,4,9,ai_prepop,fast,2026-08-16 05:19:38
"coolio, l.v. - gangsta's paradise",0.7317073170731707,9,5,ai_prepop,dark,2026-08-16 05:19:38
counting crows - mr. jones,0.8356972535451254,1,8,operator,,2026-08-16 05:19:38
cowboy junkies - sweet jane,0.5095805327097574,3,2,operator,,2026-08-16 05:19:38
crazy town - butterfly,0.6521739130434783,4,6,ai_prepop,dark,2026-08-16 05:19:38
creedence clearwater revival - have you ever seen the rain?,0.5172413793103449,7,1,ai_prepop,fast,2026-08-16 05:19:38
"crosby, stills, nash & young - our house",2.0,8,8,operator,,2026-08-16 05:19:38
cyndi lauper - girls just want to have fun,0.5,4,8,ai_prepop,fast,2026-08-16 05:19:38
cyndi lauper - time after time,0.9090909090909091,9,10,ai_prepop,slow,2026-08-16 05:19:38
cyndi lauper - true colors,0.8823529411764706,9,10,ai_prepop,slow,2026-08-16 05:19:38
cypress hill - hits from the bong,0.6451612903225806,9,2,ai_prepop,dark,2026-08-16 05:19:38
cypress hill - insane in the brain,0.6521739130434783,9,6,online,fast,2026-08-16 05:19:38
céline dion - all by myself,0.7894736842105263,9,0,online,slow,2026-08-16 05:19:38
"céline dion - because you loved me (theme from ""up close and personal"")",1.2273866335550945,4,1,operator,,2026-08-16 05:19:38
"céline dion - my heart will go on - love theme from ""titanic""",0.8955223880597015,9,12,ai_prepop,slow,2026-08-16 05:19:38
daddy yankee - gasolina,0.6122448979591837,7,11,ai_prepop,fast,2026-08-16 05:19:38
danny & the juniors - at the hop,0.35714285714285715,4,1,ai_prepop,fast,2026-08-16 05:19:38
daryl braithwaite - one summer,0.42857142857142855,7,4,ai_prepop,fast,2026-08-16 05:19:38
daryl braithwaite - the horses,0.5,1,6,ai_prepop,slow,2026-08-16 05:19:38
daryl hall & john oates - maneater,0.5357142857142857,9,5,ai_prepop,dark,2026-08-16 05:19:38
daryl hall & john oates - private eyes,0.5084745762711864,4,9,ai_prepop,fast,2026-08-16 05:19:38
daryl hall & john oates - you make my dreams (come true),0.5263157894736842,4,11,ai_prepop,fast,2026-08-16 05:19:38
david bowie - let's dance - 2018 remaster,0.5357142857142857,8,10,operator,fast,2026-08-16 05:19:38
david bowie - space oddity - 2009 remastered version,0.8333333333333334,6,0,ai_prepop,slow,2026-08-16 05:19:38
dead or alive - you spin me round (like a record),0.4838709677419355,4,4,ai_prepop,fast,2026-08-16 05:19:38
dean martin - that's amore - 1996 digital remaster,1.1311181386311848,0,2,operator,,2026-08-16 05:19:38
"deniece williams - let's hear it for the boy - from ""footloose"" original soundtrack",0.5,4,8,ai_prepop,fast,2026-08-16 05:19:38
depeche mode - depeche mode - enjoy the silence (live in berlin),0.75,-1,-1,online,slow,2026-08-16 05:19:38
depeche mode - just can't get enough,0.5,4,9,ai_prepop,fast,2026-08-16 05:19:38
depeche mode - never let me down again,0.6122448979591837,5,6,ai_prepop,dark,2026-08-16 05:19:38
depeche mode - people are people,0.5,9,6,ai_prepop,dark,2026-08-16 05:19:38
depeche mode - personal jesus,0.5,5,5,ai_prepop,dark,2026-08-16 05:19:38
depeche mode - policy of truth,0.6,9,5,ai_prepop,dark,2026-08-16 05:19:38
depeche mode - strangelove,0.5,5,12,ai_prepop,dark,2026-08-16 05:19:38
"destiny's child - bills, bills, bills",1.5752283732096355,4,5,operator,,2026-08-16 05:19:38
"destiny's child - independent women, pt. 1",0.6,3,4,ai_prepop,fast,2026-08-16 05:19:38
"destiny's child - jumpin', jumpin'",0.42857142857142855,3,4,ai_prepop,fast,2026-08-16 05:19:38
destiny's child - say my name,2.0,3,9,operator,,2026-08-16 05:19:38
destiny's child - survivor,0.5,5,9,operator,fast,2026-08-16 05:19:38
dido - thank you,0.7601883411407471,0,10,operator,,2026-08-16 05:19:38
dion - runaround sue - remastered 1991,0.41379310344827586,4,8,ai_prepop,fast,2026-08-16 05:19:38
dolly parton - 9 to 5,0.5805724461873373,8,6,operator,fast,2026-08-16 05:19:38
don mclean - american pie,0.5769230769230769,0,2,operator,slow,2026-08-16 05:19:38
donovan - mellow yellow,0.5357142857142857,7,0,operator,slow,2026-08-16 05:19:38
"doris day, frank devol & his orchestra - whatever will be, will be (que sera, sera) (with frank devol & his orchestra) - single version",0.5769230769230769,1,6,ai_prepop,slow,2026-08-16 05:19:38
"dr. dre, snoop dogg - still d.r.e.",1.266873836517334,0,9,operator,,2026-08-16 05:19:38
"dr. dre, snoop dogg - the next episode",1.873060703277588,0,2,operator,,2026-08-16 05:19:38
duran duran - hungry like the wolf - 2009 remaster,0.42857142857142855,7,8,ai_prepop,fast,2026-08-16 05:19:38
dusty springfield - son of a preacher man,1.080861488978068,7,0,operator,,2026-08-16 05:19:38
eagles - take it easy - 2013 remaster,0.8190992673238119,1,7,operator,,2026-08-16 05:19:38
"earth, wind & fire - let's groove",2.0,2,1,operator,,2026-08-16 05:19:38
"earth, wind & fire - september",0.5036779244740804,5,8,operator,,2026-08-16 05:19:38
eddie money - take me home tonight,0.5,3,9,ai_prepop,fast,2026-08-16 05:19:38
elton john - bennie and the jets - remastered 2014,0.8874886830647787,9,10,operator,fast,2026-08-16 05:19:38
elvis presley - blue suede shoes,0.3222026030222575,4,10,operator,,2026-08-16 05:19:38
eminem - lose yourself,0.7058823529411765,-1,-1,online,dark,2026-08-16 05:19:38
eminem - the real slim shady,0.5769230769230769,5,2,ai_prepop,dark,2026-08-16 05:19:38
eminem - without me,0.5357142857142857,4,5,ai_prepop,dark,2026-08-16 05:19:38
"eminem, nate dogg - till i collapse",0.7142857142857143,5,5,ai_prepop,dark,2026-08-16 05:19:38
"eric carmen - hungry eyes - from ""dirty dancing"" soundtrack",1.571801781654358,9,12,operator,,2026-08-16 05:19:38
eric carmen - make me lose control,0.45454545454545453,3,8,ai_prepop,fast,2026-08-16 05:19:38
europe - the final countdown,0.5263157894736842,7,4,ai_prepop,fast,2026-08-16 05:19:38
"eurythmics, annie lennox, dave stewart - sweet dreams (are made of this) - 2005 remaster",0.4838709677419355,5,5,ai_prepop,dark,2026-08-16 05:19:38
eve 6 - inside out,1.3127820491790771,0,7,operator,,2026-08-16 05:19:38
"fall out boy - sugar, we're goin down",0.6976744186046512,4,12,ai_prepop,dark,2026-08-16 05:19:38
"far east movement, the cataracs, dev - like a g6",1.1177535851796467,4,6,operator,,2026-08-16 05:19:38
fiona apple - criminal,0.6666666666666666,5,6,ai_prepop,dark,2026-08-16 05:19:38
fleetwood mac - dreams - 2004 remaster,0.5,8,12,ai_prepop,slow,2026-08-16 05:19:38
fleetwood mac - everywhere,0.5,-1,-1,online,fast,2026-08-16 05:19:38
fleetwood mac - everywhere - 2017 remaster,0.5263157894736842,4,11,ai_prepop,fast,2026-08-16 05:19:38
"flo rida, t-pain - low (feat. t-pain)",0.9230769230769231,3,4,ai_prepop,fast,2026-08-16 05:19:38
foo fighters - everlong,0.36585365853658536,4,4,online,fast,2026-08-16 05:19:38
foo fighters - learn to fly,0.8489276568094889,2,0,operator,,2026-08-16 05:19:38
foreigner - i want to know what love is - 1999 remaster,2.0,4,3,operator,,2026-08-16 05:19:38
foster the people - pumped up kicks,0.46875,5,2,ai_prepop,dark,2026-08-16 05:19:38
"four tops - i can't help myself (sugar pie, honey bunch)",0.4622220993041992,6,0,operator,,2026-08-16 05:19:38
frank sinatra - come fly with me - remastered,0.46153846153846156,4,11,ai_prepop,fast,2026-08-16 05:19:38
frankie lymon & the teenagers - why do fools fall in love,0.6786886850992838,0,1,operator,,2026-08-16 05:19:38
fuel - shimmer,0.6666666666666666,5,2,ai_prepop,dark,2026-08-16 05:19:38
"fugees, ms. lauryn hill - killing me softly with his song",2.0,3,6,operator,,2026-08-16 05:19:38
"fugees, ms. lauryn hill, wyclef jean, pras - fu-gee-la",0.626351515452067,0,2,operator,,2026-08-16 05:19:38
"fugees, ms. lauryn hill, wyclef jean, pras - ready or not",0.6666666666666666,4,12,ai_prepop,dark,2026-08-16 05:19:38
george michael - careless whisper,0.5084745762711864,9,7,ai_prepop,slow,2026-08-16 05:19:38
george michael - faith - remastered,0.625,7,4,ai_prepop,fast,2026-08-16 05:19:38
george michael - father figure - remastered,0.5998019377390543,6,2,operator,,2026-08-16 05:19:38
george michael - freedom! '90 - edit,0.6122448979591837,3,4,ai_prepop,fast,2026-08-16 05:19:38
ghost town djs - my boo - hitman's club mix,0.44776119402985076,3,8,ai_prepop,fast,2026-08-16 05:19:38
ginuwine - differences,0.6666666666666666,8,6,ai_prepop,slow,2026-08-16 05:19:38
ginuwine - pony,0.5,9,12,operator,,2026-08-16 05:19:38
ginuwine - so anxious,0.6521739130434783,0,10,online,slow,2026-08-16 05:19:38
"gnarls barkley, ceelo green, danger mouse - crazy",0.5357142857142857,5,6,ai_prepop,dark,2026-08-16 05:19:38
green day - basket case,0.35714285714285715,3,8,online,fast,2026-08-16 05:19:38
guns n' roses - knockin' on heaven's door,0.9036099116007487,5,3,operator,,2026-08-16 05:19:38
guns n' roses - november rain,0.9090909090909091,5,12,ai_prepop,slow,2026-08-16 05:19:38
guns n' roses - paradise city,1.2663834889729817,5,7,operator,,2026-08-16 05:19:38
guns n' roses - sweet child o' mine,0.48,7,8,ai_prepop,fast,2026-08-16 05:19:38
guns n' roses - welcome to the jungle,0.46875,9,5,ai_prepop,dark,2026-08-16 05:19:38
gwen stefani - hollaback girl,1.0866198539733887,3,11,operator,,2026-08-16 05:19:38
"hank williams - hey, good lookin'",0.35714285714285715,4,8,ai_prepop,fast,2026-08-16 05:19:38
incubus - drive,0.7058823529411765,9,6,ai_prepop,slow,2026-08-16 05:19:38
indigo girls - closer to fine,0.4166666666666667,7,8,ai_prepop,fast,2026-08-16 05:19:38
iyaz - replay,0.5,3,9,ai_prepop,fast,2026-08-16 05:19:38
jackie wilson - (your love keeps lifting me) higher & higher,0.46875,4,9,ai_prepop,fast,2026-08-16 05:19:38
jamiroquai - virtual insanity - remastered 2006,0.5,7,9,ai_prepop,fast,2026-08-16 05:19:38
janis joplin - me and bobby mcgee,0.46875,3,4,ai_prepop,fast,2026-08-16 05:19:38
"jeff buckley - lover, you should've come over",1.1567839781443279,6,2,operator,,2026-08-16 05:19:38
jefferson airplane - somebody to love,0.44776119402985076,3,11,ai_prepop,fast,2026-08-16 05:19:38
jennifer lopez - if you had my love,0.6521739130434783,3,8,ai_prepop,fast,2026-08-16 05:19:38
jennifer lopez - let's get loud,0.5769230769230769,3,9,ai_prepop,fast,2026-08-16 05:19:38
jennifer lopez - waiting for tonight,0.46153846153846156,4,1,online,fast,2026-08-16 05:19:38
jerry lee lewis - great balls of fire,0.36809815950920244,7,4,ai_prepop,fast,2026-08-16 05:19:38
jimi hendrix - all along the watchtower,1.177949587504069,9,11,operator,,2026-08-16 05:19:38
joan jett & the blackhearts - i hate myself for loving you,1.1609830856323242,0,9,operator,,2026-08-16 05:19:38
joan jett & the blackhearts - i love rock 'n roll,0.5084745762711864,3,9,ai_prepop,fast,2026-08-16 05:19:38
"john denver - take me home, country roads - rerecorded",0.6521739130434783,5,0,ai_prepop,slow,2026-08-16 05:19:38
johnny cash - i walk the line - single version,0.42857142857142855,7,1,ai_prepop,fast,2026-08-16 05:19:38
journey - any way you want it (2024 remaster),0.46153846153846156,3,8,ai_prepop,fast,2026-08-16 05:19:38
journey - don't stop believin' (2024 remaster),0.5042016806722689,7,1,ai_prepop,fast,2026-08-16 05:19:38
journey - open arms (2024 remaster),2.0,6,2,operator,,2026-08-16 05:19:38
journey - separate ways (worlds apart) [2024 remaster],1.1609830856323242,4,8,operator,,2026-08-16 05:19:38
judas priest - you've got another thing coming,0.4166666666666667,5,2,ai_prepop,dark,2026-08-16 05:19:38
"justin bieber, ludacris - baby",0.5,-1,-1,online,fast,2026-08-16 05:19:38
justin timberlake - cry me a river,0.6521739130434783,5,12,ai_prepop,dark,2026-08-16 05:19:38
justin timberlake - rock your body,0.6,3,4,ai_prepop,fast,2026-08-16 05:19:38
"justin timberlake, timbaland - sexyback (feat. timbaland)",0.5,4,12,ai_prepop,dark,2026-08-16 05:19:38
kanye west - stronger,0.5769230769230769,4,9,ai_prepop,fast,2026-08-16 05:19:38
"kanye west, jamie foxx - gold digger",0.6,5,0,operator,,2026-08-16 05:19:38
kate bush - running up that hill (a deal with god) - 2018 remaster,0.5555555555555556,5,5,ai_prepop,dark,2026-08-16 05:19:38
katrina & the waves - walking on sunshine,0.5454545454545454,7,1,ai_prepop,fast,2026-08-16 05:19:38
katy perry - hot n cold,0.5,3,4,ai_prepop,fast,2026-08-16 05:19:38
katy perry - i kissed a girl,0.5,3,11,ai_prepop,fast,2026-08-16 05:19:38
kelly clarkson - because of you,2.0,3,1,operator,,2026-08-16 05:19:38
kelly clarkson - since u been gone,0.42676663398742676,2,2,operator,,2026-08-16 05:19:38
"kenny loggins - danger zone - from ""top gun"" original soundtrack",0.46875,3,9,ai_prepop,fast,2026-08-16 05:19:38
kenny loggins - footloose,0.35714285714285715,4,11,ai_prepop,fast,2026-08-16 05:19:38
kesha - tik tok,0.5,7,1,ai_prepop,fast,2026-08-16 05:19:38
korn - freak on a leash,0.6521739130434783,4,6,ai_prepop,dark,2026-08-16 05:19:38
kris kross - jump,0.6,7,1,ai_prepop,fast,2026-08-16 05:19:38
la bouche - be my lover,0.40741292635599774,2,5,operator,fast,2026-08-16 05:19:38
lady gaga - bad romance,0.5042016806722689,9,5,ai_prepop,dark,2026-08-16 05:19:38
lady gaga - poker face,2.0,7,2,operator,fast,2026-08-16 05:19:38
"lady gaga, colby o'donis - just dance",0.5042016806722689,3,9,ai_prepop,fast,2026-08-16 05:19:38
led zeppelin - whole lotta love - 1990 remaster,0.6666666666666666,5,6,ai_prepop,dark,2026-08-16 05:19:38
len - steal my sunshine - single version,0.6521739130434783,3,4,online,fast,2026-08-16 05:19:38
leona lewis - bleeding love,0.5,9,0,operator,,2026-08-16 05:19:38
lit - my own worst enemy,0.3488372093023256,7,4,ai_prepop,fast,2026-08-16 05:19:38
little richard - tutti frutti,0.6475562254587809,3,11,operator,,2026-08-16 05:19:38
living colour - cult of personality,2.0,7,7,operator,,2026-08-16 05:19:38
living colour - cult of personality (2023 remaster),0.46153846153846156,9,5,ai_prepop,dark,2026-08-16 05:19:38
lou bega - mambo no. 5 (a little bit of...),0.6376517613728842,8,5,operator,,2026-08-16 05:19:38
louis armstrong - what a wonderful world,1.3636363636363635,9,6,ai_prepop,slow,2026-08-16 05:19:38
love affair - everlasting love,0.46875,3,8,ai_prepop,fast,2026-08-16 05:19:38
loverboy - turn me loose,0.46153846153846156,4,1,ai_prepop,fast,2026-08-16 05:19:38
loverboy - working for the weekend,0.46875,3,9,ai_prepop,fast,2026-08-16 05:19:38
luther vandross - never too much,0.5084745762711864,3,11,ai_prepop,fast,2026-08-16 05:19:38
lynyrd skynyrd - free bird,1.0,6,7,ai_prepop,slow,2026-08-16 05:19:38
m.i.a. - paper planes,0.6666666666666666,5,5,ai_prepop,dark,2026-08-16 05:19:38
macy gray - i try,0.7142857142857143,9,6,ai_prepop,slow,2026-08-16 05:19:38
madonna - like a prayer,0.5084745762711864,3,11,ai_prepop,fast,2026-08-16 05:19:38
"madonna, justin timberlake, timbaland - 4 minutes (feat. justin timberlake & timbaland)",0.5,6,2,operator,,2026-08-16 05:19:38
manfred mann - do wah diddy diddy - 1997 remastered version,0.42857142857142855,4,8,ai_prepop,fast,2026-08-16 05:19:38
mariah carey - always be my baby,0.7692307692307693,9,0,ai_prepop,slow,2026-08-16 05:19:38
mariah carey - fantasy,0.5357142857142857,4,1,ai_prepop,fast,2026-08-16 05:19:38
mariah carey - hero,0.8333333333333334,0,0,ai_prepop,slow,2026-08-16 05:19:38
mariah carey - my all,0.6521739130434783,-1,-1,online,,2026-08-16 05:19:38
"mariah carey, ol' dirty bastard - fantasy (feat. o.d.b.)",0.5357142857142857,9,12,ai_prepop,dark,2026-08-16 05:19:38
"mark ronson, bruno mars - uptown funk (feat. bruno mars)",0.5769230769230769,-1,-1,online,,2026-08-16 05:19:38
maroon 5 - this love,0.6,4,12,ai_prepop,dark,2026-08-16 05:19:38
martina mcbride - independence day,0.45454545454545453,5,5,ai_prepop,dark,2026-08-16 05:19:38
marvin gaye - sexual healing,0.6818181818181818,0,0,ai_prepop,slow,2026-08-16 05:19:38
"marvin gaye, tammi terrell - ain't no mountain high enough - mono",0.5769230769230769,4,11,online,fast,2026-08-16 05:19:38
matthew wilder - break my stride,0.39473684210526316,3,11,ai_prepop,fast,2026-08-16 05:19:38
mazzy star - fade into you,0.8571428571428571,6,12,ai_prepop,slow,2026-08-16 05:19:38
meat loaf - paradise by the dashboard light,0.3490026791890462,0,1,operator,,2026-08-16 05:19:38
men at work - down under,2.0,4,0,operator,,2026-08-16 05:19:38
men at work - who can it be now?,0.5454545454545454,9,6,ai_prepop,dark,2026-08-16 05:19:38
michael jackson - beat it,0.5,1,2,operator,,2026-08-16 05:19:38
michael jackson - billie jean,0.5128205128205128,7,11,ai_prepop,fast,2026-08-16 05:19:38
michael jackson - black or white - single version,0.5217391304347826,7,11,ai_prepop,fast,2026-08-16 05:19:38
michael jackson - dirty diana,0.5,-1,-1,online,,2026-08-16 05:19:38
michael jackson - don't stop 'til you get enough,0.5,9,3,operator,,2026-08-16 05:19:38
michael jackson - remember the time,0.6060606060606061,3,9,ai_prepop,fast,2026-08-16 05:19:38
michael jackson - rock with you - single version,0.5357142857142857,3,4,ai_prepop,fast,2026-08-16 05:19:38
michael jackson - they don't care about us,0.6060606060606061,9,2,ai_prepop,dark,2026-08-16 05:19:38
midnight oil - beds are burning - remastered,0.5660377358490566,4,5,ai_prepop,dark,2026-08-16 05:19:38
miley cyrus - party in the u.s.a.,0.625,3,11,ai_prepop,fast,2026-08-16 05:19:38
miley cyrus - we can't stop,0.7058823529411765,3,11,ai_prepop,fast,2026-08-16 05:19:38
milli vanilli - blame it on the rain,0.5769230769230769,5,0,ai_prepop,slow,2026-08-16 05:19:38
milli vanilli - girl you know it's true,0.5887404282887777,5,8,operator,fast,2026-08-16 05:19:38
milli vanilli - i'm gonna miss you,0.8571428571428571,9,10,ai_prepop,slow,2026-08-16 05:19:38
millie small - my boy lollipop,0.45482325553894043,0,2,operator,,2026-08-16 05:19:38
misfits - last caress,0.3333333333333333,-1,-1,online,dark,2026-08-16 05:19:38
mkto - classic,0.6,7,4,ai_prepop,fast,2026-08-16 05:19:38
"modern talking, eric singleton - brother louie mix '98 (feat. eric singleton) - radio edit",0.5,4,11,ai_prepop,fast,2026-08-16 05:19:38
monica - why i love you so much,2.0,3,5,operator,,2026-08-16 05:19:38
ms. lauryn hill - doo wop (that thing),0.5642170906066895,8,5,operator,,2026-08-16 05:19:38
ms. lauryn hill - ex-factor,1.4237947463989258,4,11,operator,,2026-08-16 05:19:38
"myles lloyd, bunt. - crazy",0.4838709677419355,4,9,ai_prepop,fast,2026-08-16 05:19:38
